Donor.ROI,Image,User,Stage.Labels,Quality,Notes,Time,cell_id,cell_area
ROI4,ROI4_naaogmpa-1.png,Taylor,primordial,okay,just nucleus,53:00.3,naaogmpa-1,87.96437819
ROI4,ROI4_nadlnnif-1.png,Taylor,primordial,good,,53:06.1,nadlnnif-1,527.7411129
ROI4,ROI4_nadnibme-1.png,Taylor,other,terrible,not much oocyte,53:18.5,nadnibme-1,220.001258
ROI4,ROI4_nagdabfd-1.png,Taylor,primordial,okay,1/3 oocyte with a little bit of GC,53:33.5,nagdabfd-1,229.4840708
ROI4,ROI4_nagenohk-1.png,Taylor,primordial,good,,53:40.3,nagenohk-1,236.9800086
ROI4,ROI4_najhobff-1.png,Taylor,primordial,poor,has a GC in it,53:50.6,najhobff-1,248.6303215
ROI4,ROI4_nakmkblj-1.png,Taylor,primordial,okay,just nucleus,54:02.8,nakmkblj-1,108.7362539
ROI4,ROI4_naknnajk-1.png,Taylor,other,terrible,lots of GC,54:22.4,naknnajk-1,244.6565714
ROI4,ROI4_ncngmfha-1.png,Taylor,early transitioning,good,mostly nucleus,54:32.0,ncngmfha-1,165.091256
ROI5,ROI5_aaaagckl-1.png,Taylor,primary;secondary,good,,54:43.1,aaaagckl-1,336.6850122
ROI5,ROI5_aaaaplbh-1.png,Taylor,primordial,good,,54:50.9,aaaaplbh-1,1114.907853
ROI5,ROI5_aaabgcdk-1.png,Taylor,primordial,good,,57:22.1,aaabgcdk-1,745.8909646
ROI5,ROI5_aaabhgnn-1.png,Taylor,other,okay,end of follicle hard to tell,57:56.2,aaabhgnn-1,222.9815706
ROI5,ROI5_aaadbkgb-1.png,Taylor,early transitioning,good,,58:06.1,aaadbkgb-1,719.6100261
ROI5,ROI5_aaadmekh-1.png,Taylor,transitioning,good,,58:24.3,aaadmekh-1,1023.240662
ROI5,ROI5_aaadmknn-1.png,Taylor,primordial,poor,overreaching,58:41.8,aaadmknn-1,648.714711
ROI5,ROI5_aaaeboib-1.png,Taylor,primordial,good,,58:47.8,aaaeboib-1,397.1492332
ROI5,ROI5_aaaeclee-1.png,Taylor,primordial,good,,58:54.2,aaaeclee-1,311.6232926
ROI5,ROI5_aaaeflmd-1.png,Taylor,primordial,good,,59:02.9,aaaeflmd-1,382.9701702
ROI5,ROI5_aaaegblk-1.png,Taylor,primordial,good,,59:10.7,aaaegblk-1,691.0261188
ROI5,ROI5_abodalld-1.png,Taylor,other,terrible,this is a GC,59:24.1,abodalld-1,44.11765785
ROI5,ROI5_abojcnlc-1.png,Taylor,other,terrible,this is a GC,59:35.4,abojcnlc-1,32.60281368
ROI5,ROI5_abojecfb-1.png,Taylor,other,terrible,this is a GC,59:43.4,abojecfb-1,34.86062627
ROI5,ROI5_abojmgpi-1.png,Taylor,other,terrible,this is a GC,59:50.7,abojmgpi-1,38.92468891
ROI5,ROI5_abojompb-1.png,Taylor,other,terrible,this is a GC,00:34.2,abojompb-1,35.04125127
ROI5,ROI5_abokekgk-1.png,Taylor,other,terrible,this is a GC,00:44.9,abokekgk-1,40.55031397
ROI5,ROI5_abomfghg-1.png,Taylor,other,terrible,this is a GC,00:51.0,abomfghg-1,33.91234498
ROI5,ROI5_abomofgc-1.png,Taylor,other,terrible,this is a GC,00:57.6,abomofgc-1,22.39750081
ROI5,ROI5_abopbopk-1.png,Taylor,other,terrible,this is a GC,01:04.7,abopbopk-1,50.12343932
ROI5,ROI5_abopmbld-1.png,Taylor,other,terrible,this is a GC,01:11.0,abopmbld-1,48.85906427
ROI5,ROI5_abpafmfn-1.png,Taylor,other,terrible,this is a GC,01:16.9,abpafmfn-1,57.61937709
ROI5,ROI5_abpahmad-1.png,Taylor,other,terrible,this is a GC,01:22.6,abpahmad-1,39.42140768
ROI5,ROI5_acanemle-1.png,Taylor,other,terrible,this is a GC,01:28.6,acanemle-1,29.89343859
ROI5,ROI5_acankgdb-1.png,Taylor,other,terrible,this is a GC,01:34.5,acankgdb-1,42.26625153
ROI5,ROI5_acaoknja-1.png,Taylor,other,terrible,this is a GC,01:40.4,acaoknja-1,44.02734535
ROI5,ROI5_acapdnfl-1.png,Taylor,other,terrible,this is a GC,01:46.0,acapdnfl-1,51.56843937
ROI5,ROI5_acbadjoc-1.png,Taylor,other,terrible,this is a GC,01:51.5,acbadjoc-1,54.91000199
ROI5,ROI5_acbakkeh-1.png,Taylor,other,terrible,this is a GC,01:57.3,acbakkeh-1,27.59046975
ROI5,ROI5_acbbikcg-1.png,Taylor,other,terrible,this is a GC,02:02.5,acbbikcg-1,25.73906343
ROI5,ROI5_acbcbjig-1.png,Taylor,other,terrible,this is a GC,02:08.6,acbcbjig-1,44.88531413
ROI5,ROI5_acbcfndg-1.png,Taylor,other,terrible,this is a GC,02:13.9,acbcfndg-1,48.45265801
ROI5,ROI5_acbdmchn-1.png,Taylor,other,terrible,this is a GC,02:19.8,acbdmchn-1,27.86140726
ROI5,ROI5_acbjmoop-1.png,Taylor,other,terrible,this is a GC,02:25.9,acbjmoop-1,30.02890734
ROI5,ROI5_acbkhgkg-1.png,Taylor,other,terrible,this is a GC,02:31.4,acbkhgkg-1,28.76453229
ROI5,ROI5_acbknpml-1.png,Taylor,other,terrible,this is a GC,02:37.1,acbknpml-1,34.81547001
ROI5,ROI5_achehlni-1.png,Taylor,other,terrible,this is a GC,02:42.5,achehlni-1,47.00765796
ROI5,ROI5_akdofjhl-1.png,Taylor,other,terrible,this is a GC,02:50.7,akdofjhl-1,38.5634389
ROI5,ROI5_akekljmf-1.png,Taylor,other,terrible,this is a GC,02:56.4,akekljmf-1,41.58890776
ROI5,ROI5_akemgick-1.png,Taylor,other,terrible,this is a GC,03:01.5,akemgick-1,48.272033
ROI5,ROI5_alidnaeh-1.png,Taylor,other,terrible,this is a GC,03:07.1,alidnaeh-1,132.4432861
ROI5,ROI5_alifmcdc-1.png,Taylor,other,terrible,this is a GC,03:12.7,alifmcdc-1,19.3268757
ROI5,ROI5_aligcloo-1.png,Taylor,other,terrible,this is a GC,03:17.9,aligcloo-1,35.44765754
ROI5,ROI5_aliggail-1.png,Taylor,other,terrible,this is a GC,03:23.4,aliggail-1,55.04547075
ROI5,ROI5_alijipng-1.png,Taylor,other,terrible,this is a GC,03:28.8,alij-1,NA
ROI5,ROI5_alimemoe-1.png,Taylor,other,terrible,this is a GC,03:34.9,alimemoe-1,74.77875271
ROI5,ROI5_amcdnhca-1.png,Taylor,other,terrible,this is a GC,03:40.4,amcdnhca-1,92.11875334
ROI5,ROI5_amcjllji-1.png,Taylor,other,terrible,this is a GC,03:45.9,amcjllji-1,128.6953172
ROI5,ROI5_amecigea-1.png,Taylor,other,terrible,this is a GC,03:51.6,amecigea-1,102.0079725
ROI5,ROI5_amecmlle-1.png,Taylor,other,terrible,this is a GC,03:57.1,amecmlle-1,124.9925045
ROI5,ROI5_amedbebk-1.png,Taylor,other,terrible,this is a GC,04:01.9,amedbebk-1,83.76484679
ROI5,ROI5_amfipkjj-1.png,Taylor,other,terrible,this is a GC,04:06.9,amfipkjj-1,84.98406558
ROI5,ROI5_amfmpdfh-1.png,Taylor,other,terrible,this is a GC,04:12.6,amfmpdfh-1,57.16781458
ROI5,ROI5_ancbepdo-1.png,Taylor,other,terrible,this is a GC,04:18.1,ancbepdo-1,43.16937657
ROI5,ROI5_apkkchon-1.png,Taylor,other,terrible,this is a GC,04:23.6,apkkchon-1,47.95593924
ROI5,ROI5_apkkgmnm-1.png,Taylor,other,terrible,this is a GC,04:29.8,apkkgmnm-1,42.85328281
ROI5,ROI5_apkkkijk-1.png,Taylor,other,terrible,this is a GC,04:35.2,apkkkijk-1,37.88609513
ROI5,ROI5_aplbfbno-1.png,Taylor,other,terrible,this is a GC,04:40.4,aplbfbno-1,63.12843979
ROI5,ROI5_bnlbdomj-1.png,Taylor,other,terrible,this is a GC,04:45.8,bnlbdomj-1,76.81078404
ROI5,ROI5_bnlejboa-1.png,Taylor,other,terrible,this is a GC,04:51.3,bnlejboa-1,56.44531455
ROI5,ROI5_bnmlceke-1.png,Taylor,other,terrible,this is a GC,04:56.9,bnmlceke-1,34.58968876
ROI5,ROI5_bnmlgkhp-1.png,Taylor,other,terrible,this is a GC,05:02.8,bnmlgkhp-1,30.79656362
ROI5,ROI5_bnmligkb-1.png,Taylor,other,terrible,this is a GC,05:09.4,bnmligkb-1,46.05937667
ROI5,ROI5_bnmmelcp-1.png,Taylor,other,terrible,this is a GC,05:15.8,bnmmelcp-1,55.99375203
ROI5,ROI5_bnmncflg-1.png,Taylor,other,terrible,this is a GC,05:21.8,bnmncflg-1,37.2539076
ROI5,ROI5_bnmogakc-1.png,Taylor,other,terrible,this is a GC,05:28.7,bnmogakc-1,39.91812645
ROI5,ROI5_bnohpddb-1.png,Taylor,other,terrible,this is a GC,05:34.7,bnohpddb-1,88.59656572
ROI5,ROI5_bnoikidn-1.png,Taylor,other,terrible,this is a GC,05:41.7,bnoikidn-1,33.73171997
ROI5,ROI5_bnpbfkej-1.png,Taylor,other,terrible,this is a GC,05:48.1,bnpbfkej-1,41.99531402
ROI5,ROI5_bnpfeein-1.png,Taylor,other,terrible,this is a GC,05:54.7,bnpfeein-1,31.33843864
ROI5,ROI5_bnpfpjon-1.png,Taylor,other,terrible,this is a GC,06:01.3,bnpfpjon-1,44.70468912
ROI5,ROI5_bodehecd-1.png,Taylor,other,terrible,this is a GC,06:07.8,bodehecd-1,77.0365653
ROI5,ROI5_bodenmjp-1.png,Taylor,other,terrible,this is a GC,06:14.0,bodenmjp-1,146.6675053
ROI5,ROI5_bodfkiia-1.png,Taylor,other,terrible,this is a GC,06:22.0,bodfkiia-1,65.65718988
ROI5,ROI5_bodgiohg-1.png,Taylor,other,terrible,this is a GC,06:29.7,bodgiohg-1,38.6537514
ROI5,ROI5_boiekfoa-1.png,Taylor,other,terrible,this is a GC,06:36.5,boiekfoa-1,49.31062679
ROI5,ROI5_boielboi-1.png,Taylor,other,terrible,this is a GC,06:42.8,boielboi-1,107.6073477
ROI5,ROI5_boihlccl-1.png,Taylor,other,terrible,this is a GC,06:49.4,boihlccl-1,64.93468986
ROI5,ROI5_boihobpb-1.png,Taylor,other,terrible,this is a GC,06:56.5,boihobpb-1,35.9443763
ROI5,ROI5_bojdjblh-1.png,Taylor,other,terrible,this is a GC,07:02.3,bojdjblh-1,53.64562695
ROI5,ROI5_bojecgab-1.png,Taylor,other,terrible,this is a GC,07:08.8,bojecgab-1,44.56922037
ROI5,ROI5_bojejgio-1.png,Taylor,other,terrible,this is a GC,07:15.3,bojejgio-1,23.93281337
ROI5,ROI5_bojeocll-1.png,Taylor,other,terrible,this is a GC,07:22.9,bojeocll-1,60.87062721
ROI5,ROI5_bojfkokp-1.png,Taylor,other,terrible,this is a GC,07:29.5,bojfkokp-1,20.636407
ROI5,ROI5_bojfoeoe-1.png,Taylor,other,terrible,this is a GC,07:35.5,bojfoeoe-1,87.55797193
ROI5,ROI5_bokijgej-1.png,Taylor,other,terrible,this is a GC,07:42.8,bokijgej-1,44.38859536
ROI5,ROI5_bokiopkn-1.png,Taylor,other,terrible,this is a GC,07:48.5,bokiopkn-1,71.6178151
ROI5,ROI5_bokkglbb-1.png,Taylor,other,terrible,this is a GC,07:56.0,bokkglbb-1,42.71781405
ROI5,ROI5_boklacll-1.png,Taylor,other,terrible,this is a GC,33:52.5,boklacll-1,48.45265801
ROI5,ROI5_boklnmfj-1.png,Taylor,primary;secondary,poor,"very small ROI, might have a little bit of GC",34:19.7,boklnmfj-1,103.9948475
ROI5,ROI5_bolceind-1.png,Taylor,primary;secondary,poor,"very small ROI, might have some GC",34:38.8,bolceind-1,79.11375287
ROI5,ROI5_boldhcac-1.png,Taylor,other,terrible,this is a GC,34:45.6,boldhcac-1,64.52828359
ROI5,ROI5_bolffgje-1.png,Taylor,other,terrible,this is a GC,35:10.7,bolffgje-1,66.0184399
ROI5,ROI5_bomckkpo-1.png,Taylor,other,terrible,this is a GC,35:16.8,bomckkpo-1,139.1264113
ROI5,ROI5_cajfleke-1.png,Taylor,other,terrible,this is a GC,35:22.8,cajfleke-1,59.51593966
ROI5,ROI5_cajfljho-1.png,Taylor,other,terrible,this is a GC,35:29.8,cajfljho-1,29.39671982
ROI5,ROI5_cajgbokh-1.png,Taylor,other,terrible,this is a GC,35:35.0,cajgbokh-1,31.5642199
ROI5,ROI5_cajgcjbl-1.png,Taylor,other,terrible,this is a GC,35:40.3,cajgcjbl-1,35.58312629
ROI5,ROI5_cajginge-1.png,Taylor,other,terrible,this is a GC,35:45.2,cajginge-1,31.29328239
ROI5,ROI5_cakgdlkh-1.png,Taylor,other,terrible,this is a GC,35:50.0,cakgdlkh-1,49.98797056
ROI5,ROI5_cakhcaem-1.png,Taylor,other,terrible,this is a GC,35:55.6,cakhcaem-1,50.48468933
ROI5,ROI5_cakhefig-1.png,Taylor,other,terrible,this is a GC,36:00.9,cakhefig-1,76.22375277
ROI5,ROI5_cakhpiil-1.png,Taylor,other,terrible,this is a GC,36:06.0,cakhpiil-1,70.98562758
ROI5,ROI5_cbapjkgd-1.png,Taylor,primordial,poor,small ROI of oocyte with GC overlap,36:21.0,cbapjkgd-1,128.3792234
ROI5,ROI5_cbbabold-1.png,Taylor,other,terrible,this is a GC,36:26.6,cbbabold-1,54.05203321
ROI5,ROI5_cbbcbbkd-1.png,Taylor,other,terrible,this is a GC,36:33.7,cbbcbbkd-1,45.20140789
ROI5,ROI5_cbbccajh-1.png,Taylor,other,terrible,this is a GC,36:39.3,cbbccajh-1,36.07984506
ROI5,ROI5_cbbdfcad-1.png,Taylor,early transitioning,okay,1/4 oocyte,36:56.3,cbbdfcad-1,109.7296915
ROI5,ROI5_cbbdpeok-1.png,Taylor,primordial,poor,1/4 oocyte with GC,37:08.2,cbbdpeok-1,86.02265937
ROI5,ROI5_cbbfipch-1.png,Taylor,early transitioning,poor,1/4 oocyte with GC,37:23.4,cbbfipch-1,116.6837542
ROI5,ROI5_cbbjdolo-1.png,Taylor,other,terrible,this is mostly GC,37:35.9,cbbjdolo-1,59.1095334
ROI5,ROI5_cbbjehco-1.png,Taylor,other,terrible,this is a GC,37:41.6,cbbjehco-1,100.1114099
ROI5,ROI5_cbchminh-1.png,Taylor,other,terrible,this is a GC,37:47.0,cbchminh-1,48.58812676
ROI5,ROI5_cbchojcf-1.png,Taylor,other,terrible,this is a GC,37:52.5,cbchojcf-1,70.35344005
ROI5,ROI5_cbcmnhfo-1.png,Taylor,other,terrible,this is a GC,37:59.5,cbcmnhfo-1,122.4185982
ROI5,ROI5_cbcnaddj-1.png,Taylor,other,terrible,this is a GC,38:05.7,cbcnaddj-1,50.9814081
ROI5,ROI5_cbcnjpki-1.png,Taylor,other,terrible,this is a GC,38:11.1,cbcnjpki-1,46.82703295
ROI5,ROI5_cbedigob-1.png,Taylor,other,terrible,this is a GC,38:16.5,cbedigob-1,68.50203374
ROI5,ROI5_cbehhnae-1.png,Taylor,other,terrible,this is a GC,38:21.8,cbehhnae-1,55.90343953
ROI5,ROI5_cbeiojeh-1.png,Taylor,other,terrible,this is a GC,38:27.2,cbeiojeh-1,65.70234613
ROI5,ROI5_cbggnjif-1.png,Taylor,primordial,poor,1/4 oocyte with GC,38:40.3,cbggnjif-1,133.52703609690101
ROI5,ROI5_cbgngigl-1.png,Taylor,other,terrible,this is a GC,38:45.6,cbgngigl-1,69.04390876
ROI5,ROI5_cbhmchhe-1.png,Taylor,other,terrible,this is a GC,38:50.9,cbhmchhe-1,101.0145349
ROI5,ROI5_cbhoamml-1.png,Taylor,other,terrible,this is a GC,38:56.3,cbhoamml-1,94.60234718
ROI5,ROI5_cbhplpge-1.png,Taylor,other,terrible,this is a GC,39:02.0,cbhplpge-1,70.85015882
ROI5,ROI5_cbibphmj-1.png,Taylor,other,terrible,this is a GC,39:07.1,cbibphmj-1,49.98797056
ROI5,ROI5_jmihpedl-1.png,Taylor,other,terrible,this is a GC,39:15.9,jmihpedl-1,28.49359478
ROI5,ROI5_jmjcmfie-1.png,Taylor,other,terrible,this is a GC,39:21.0,jmjcmfie-1,52.87797067
ROI5,ROI5_jmlpmdck-1.png,Taylor,other,terrible,this is a GC,39:26.2,jmlpmdck-1,42.98875156
ROI5,ROI5_jmoajhhj-1.png,Taylor,other,terrible,this is a GC,39:31.6,jmoajhhj-1,39.64718894
ROI5,ROI5_jmpbepip-1.png,Taylor,other,terrible,this is a GC,39:36.9,jmpbepip-1,31.29328239
ROI5,ROI5_jmpcnnpp-1.png,Taylor,other,terrible,this is a GC,39:42.3,jmpcnnpp-1,60.10297093
ROI5,ROI5_jnhllefa-1.png,Taylor,other,terrible,this is a GC,39:49.2,jnhllefa-1,57.9806271
ROI5,ROI5_jnhlmoan-1.png,Taylor,other,terrible,this is a GC,39:54.1,jnhlmoan-1,37.43453261
ROI5,ROI5_jnhnpohb-1.png,Taylor,other,terrible,this is a GC,39:59.6,jnhnpohb-1,55.94859578
ROI5,ROI5_jnihcafh-1.png,Taylor,other,terrible,this is a GC,40:06.5,jnihcafh-1,115.2387542
ROI5,ROI5_mjfogcmb-1.png,Taylor,other,terrible,this is a GC,40:11.7,mjfogcmb-1,32.87375119
ROI5,ROI5_mjfpplhh-1.png,Taylor,other,terrible,this is a GC,40:17.4,mjfpplhh-1,36.98297009
ROI5,ROI5_mjgadefi-1.png,Taylor,other,terrible,this is a GC,40:22.9,mjgadefi-1,32.73828244
ROI5,ROI5_mjnjagkn-1.png,Taylor,other,terrible,this is a GC,40:28.1,mjnjagkn-1,30.52562611
ROI5,ROI5_mjnjblha-1.png,Taylor,other,terrible,this is a GC,40:33.5,mjnjblha-1,32.60281368
ROI5,ROI5_mkblgbnh-1.png,Taylor,other,terrible,this is a GC,40:39.1,mkblgbnh-1,36.44109507
ROI5,ROI5_mkhdlill-1.png,Taylor,other,terrible,this is a GC,40:44.6,mkhdlill-1,39.60203269
ROI5,ROI5_mkhfgfpa-1.png,Taylor,other,terrible,this is a GC,40:49.9,mkhfgfpa-1,42.17593903
ROI5,ROI5_mkhgdaak-1.png,Taylor,other,terrible,this is a GC,40:55.3,mkhgdaak-1,25.24234467
ROI5,ROI5_mkhgkbkj-1.png,Taylor,other,terrible,this is a GC,41:01.1,mkhgkbkj-1,63.71547106
ROI5,ROI5_mllmljhb-1.png,Taylor,other,terrible,not capturing the oocyte correctly,41:17.2,mllmljhb-1,59.2901584
ROI5,ROI5_mlmhakon-1.png,Taylor,other,terrible,not an oocyte,41:26.5,mlmhakon-1,86.8354719
ROI5,ROI5_mlmhalni-1.png,Taylor,other,terrible,not an oocyte,41:36.9,mlmhalni-1,35.71859505
ROI5,ROI5_moggjcnj-1.png,Taylor,other,terrible,these are cells,41:44.9,moggjcnj-1,101.5564099
ROI5,ROI5_mpchpidk-1.png,Taylor,other,terrible,this is a GC,41:51.6,mpchpidk-1,48.1817205
ROI5,ROI5_mpcmhkao-1.png,Taylor,late transitioning,poor,small oocyte ROI with GC overlap,42:12.0,mpcmhkao-1,103.1368787
ROI5,ROI5_mpcnbdei-1.png,Taylor,other,terrible,mostly GC,42:19.8,mpcnbdei-1,63.26390855
ROI5,ROI5_mpoeepim-1.png,Taylor,other,terrible,not oocyte,42:26.6,mpoeepim-1,52.83281442
ROI5,ROI5_naabhgbh-1.png,Taylor,other,terrible,this is a GC,42:31.9,naabhgbh-1,30.93203237
ROI5,ROI5_naaefhha-1.png,Taylor,other,terrible,this is a GC,42:37.8,naaefhha-1,39.46656393
ROI5,ROI5_nabhdlji-1.png,Taylor,other,terrible,this is a GC,42:47.8,nabhdlji-1,59.42562716
ROI6,ROI6_aaaabpba-1.png,Taylor,early transitioning,good,,00:49.3,aaaabpba-1,280.4654789
ROI6,ROI6_aaaaeaam-1.png,Taylor,primordial,good,,03:03.8,aaaaeaam-1,209.7507889
ROI6,ROI6_aaaafica-1.png,Taylor,transitioning,poor,"end of follicle hard to tell stage, with GC overlap",03:26.3,aaaafica-1,232.5095397
ROI6,ROI6_aaaagdha-1.png,Taylor,early transitioning,okay,little bit of GC,05:09.7,aaaagdha-1,565.8529893
ROI6,ROI6_aaaahbop-1.png,Taylor,primordial,good,,05:19.4,aaaahbop-1,468.2703295
ROI6,ROI6_aaaaimef-1.png,Taylor,other,okay,"ROI itself is fine but it's hard to stage, end of follicle",05:44.9,aaaaimef-1,172.8581313
ROI6,ROI6_aaaajeoi-1.png,Taylor,early transitioning,good,,05:55.0,aaaajeoi-1,192.4107882
ROI6,ROI6_aaaaoifm-1.png,Taylor,late transitioning,good,,06:04.2,aaaaoifm-1,316.4550115
ROI6,ROI6_aaaaomfa-1.png,Taylor,primordial,good,,06:11.1,aaaaomfa-1,499.0217369
ROI6,ROI6_aaabdadi-1.png,Taylor,early transitioning,good,,07:00.2,aaabdadi-1,612.9058035
ROI6,ROI6_aaabefef-1.png,Taylor,primordial,good,,07:10.8,aaabefef-1,653.5915862
ROI6,ROI6_aaabgegl-1.png,Taylor,transitioning,okay,ROI is fine but hard to stage,07:27.6,aaabgegl-1,277.7109476
ROI6,ROI6_aaabhldm-1.png,Taylor,primordial,good,,07:38.3,aaabhldm-1,571.362052
ROI6,ROI6_aaabiifc-1.png,Taylor,early transitioning,good,,07:48.2,aaabiifc-1,463.8450168
ROI6,ROI6_aaabiljo-1.png,Taylor,primordial,good,,07:55.2,aaabiljo-1,213.9503203
ROI6,ROI6_aaabkbol-1.png,Taylor,primordial,good,,08:03.3,aaabkbol-1,243.7082901
ROI6,ROI6_aaacahcj-1.png,Taylor,early transitioning,good,,08:15.9,aaacahcj-1,397.6911082
ROI6,ROI6_aaacclaj-1.png,Taylor,early transitioning,good,,08:25.8,aaacclaj-1,727.2414326
ROI6,ROI6_aaacfaoe-1.png,Taylor,primordial,good,right half of oocyte,08:36.0,aaacfaoe-1,595.8818966
ROI6,ROI6_aaacflna-1.png,Taylor,primordial,good,,08:43.2,aaacflna-1,476.7597048
ROI6,ROI6_aaacgnpp-1.png,Taylor,primordial,good,,08:48.1,aaacgnpp-1,491.3903303
ROI6,ROI6_aaacheah-1.png,Taylor,early transitioning,okay,I think it might have some GC in it,09:01.4,aaacheah-1,538.1270508
ROI6,ROI6_aaachioi-1.png,Taylor,primordial,good,,09:08.4,aaachioi-1,418.5532964
ROI6,ROI6_aaachnlm-1.png,Taylor,primordial,good,,09:14.6,aaachnlm-1,509.091581
ROI6,ROI6_aaaciapo-1.png,Taylor,early transitioning,good,,09:21.4,aaaciapo-1,778.087372
ROI6,ROI6_aaacknlo-1.png,Taylor,primordial,good,,09:29.7,aaacknlo-1,661.629399
ROI6,ROI6_aaacllom-1.png,Taylor,early transitioning,good,,09:37.4,aaacllom-1,348.6514189
ROI6,ROI6_aaacmaog-1.png,Taylor,early transitioning,good,,09:44.6,aaacmaog-1,1761.996939
ROI6,ROI6_aaacniej-1.png,Taylor,early transitioning,good,,10:19.8,aaacniej-1,714.5073697
ROI6,ROI6_aaacnoic-1.png,Taylor,early transitioning,good,,10:26.9,aaacnoic-1,864.3809689
ROI6,ROI6_aaadbmim-1.png,Taylor,primordial,good,,10:33.6,aaadbmim-1,790.0989349
ROI6,ROI6_aaadbnbm-1.png,Taylor,late transitioning,okay,ROI is fine but hard to stage,10:47.6,aaadbnbm-1,228.264852
ROI6,ROI6_aaadckmm-1.png,Taylor,primordial,good,,10:55.6,aaadckmm-1,399.813452
ROI6,ROI6_aaadealk-1.png,Taylor,transitioning,okay,ROI is fine but hard to stage,11:12.6,aaadealk-1,401.8454833
ROI6,ROI6_aaadfdei-1.png,Taylor,early transitioning,okay,overreaching into GCs,11:39.5,aaadfdei-1,448.6725163
ROI6,ROI6_aaadflck-1.png,Taylor,transitioning,good,half oocyte,11:51.9,aaadflck-1,395.2978268
ROI6,ROI6_aaadfokf-1.png,Taylor,transitioning,good,,12:03.9,aaadfokf-1,621.4403351
ROI6,ROI6_aaadhkmk-1.png,Taylor,transitioning,good,,12:16.3,aaadhkmk-1,663.5711178
ROI6,ROI6_aaadhmpk-1.png,Taylor,primordial,good,,12:23.8,aaadhmpk-1,576.6001772
ROI6,ROI6_aaadmchd-1.png,Taylor,primary,good,,12:43.9,aaadmchd-1,736.092058
ROI6,ROI6_aaadmoig-1.png,Taylor,transitioning,good,,12:51.7,aaadmoig-1,809.7870606
ROI6,ROI6_aaadoghl-1.png,Taylor,primordial,good,,12:57.2,aaadoghl-1,707.3726819
ROI6,ROI6_aaadombf-1.png,Taylor,primordial,good,,13:03.3,aaadombf-1,853.4983122
ROI6,ROI6_aaadpaak-1.png,Taylor,primordial,good,,13:09.4,aaadpaak-1,571.31689573824406
ROI6,ROI6_aaaedemg-1.png,Taylor,primary,okay,follicle not fully in plane and does have GC overlap,13:39.0,aaaedemg-1,598.18486546352506
ROI6,ROI6_aaaeiabp-1.png,Taylor,transitioning,good,,13:45.4,aaaeiabp-1,479.6948612
ROI6,ROI6_aaaejhgk-1.png,Taylor,primordial,okay,a little bit of GC,13:56.8,aaaejhgk-1,256.4875093
ROI6,ROI6_aaaejieh-1.png,Taylor,primary,good,,14:05.5,aaaejieh-1,1022.879412
ROI6,ROI6_aaaelafj-1.png,Taylor,primordial,good,,14:11.8,aaaelafj-1,677.8856496
ROI6,ROI6_aaaepbpd-1.png,Taylor,primordial,good,,14:18.6,aaaepbpd-1,1418.628801
ROI6,ROI6_aaafbepe-1.png,Taylor,primordial,good,left side / nucleus of oocyte,14:34.2,aaafbepe-1,444.5632974
ROI6,ROI6_aaafcalm-1.png,Taylor,transitioning,good,,14:43.6,aaafcalm-1,355.5151692
ROI6,ROI6_aaafccal-1.png,Taylor,transitioning,poor,GC overlap,14:57.4,aaafccal-1,470.2572046
ROI6,ROI6_aaafcdoh-1.png,Taylor,primordial,good,,15:06.2,aaafcdoh-1,840.5836243
ROI6,ROI6_aaafckfc-1.png,Taylor,early transitioning,good,,15:14.0,aaafckfc-1,777.364872
ROI6,ROI6_aaafdmme-1.png,Taylor,early transitioning,good,,15:22.2,aaafdmme-1,751.535496
ROI6,ROI6_aaafelhb-1.png,Taylor,transitioning,good,,15:31.2,aaafelhb-1,651.5143986
ROI6,ROI6_aaafepki-1.png,Taylor,late transitioning,good,,15:40.1,aaafepki-1,497.1703305
ROI6,ROI6_aaafepnp-1.png,Taylor,primordial,good,,15:46.1,aaafepnp-1,441.3120473
ROI6,ROI6_aaaffoii-1.png,Taylor,other,poor,very edge hard to stage and GC overlap,16:02.1,aaaffoii-1,313.2940739
ROI6,ROI6_aaafhiad-1.png,Taylor,late transitioning,good,,16:10.8,aaafhiad-1,264.2995408
ROI6,ROI6_aaafhjgg-1.png,Taylor,primordial,good,,16:16.5,aaafhjgg-1,457.8843916
ROI6,ROI6_aaafiagk-1.png,Taylor,transitioning,good,,16:43.7,aaafiagk-1,926.1547211
ROI6,ROI6_aaafiglf-1.png,Taylor,primordial,good,,16:52.3,aaafiglf-1,518.8453313
ROI6,ROI6_aaafiknb-1.png,Taylor,primordial,good,pretty good does overlap one GC,17:13.7,aaafiknb-1,708.6822132
ROI6,ROI6_aaafjegf-1.png,Taylor,primordial,good,,17:20.1,aaafjegf-1,803.3297167
ROI6,ROI6_aaafkejg-1.png,Taylor,transitioning,good,,17:31.2,aaafkejg-1,402.2518896
ROI6,ROI6_aaafkkck-1.png,Taylor,early transitioning,good,,17:39.7,aaafkkck-1,696.2190878
ROI6,ROI6_aaafmdka-1.png,Taylor,primordial,good,,17:46.4,aaafmdka-1,423.2947029
ROI6,ROI6_aaafomic-1.png,Taylor,primordial,good,,17:52.3,aaafomic-1,781.7450284
ROI6,ROI6_aaafplgb-1.png,Taylor,primary,good,,18:03.8,aaafplgb-1,836.8356554
ROI6,ROI6_aaagbhdk-1.png,Taylor,early transitioning,good,,18:10.8,aaagbhdk-1,868.8062815
